,State,Reopened,Reopened Places Overview,Order Expiration,Outdoor and recreation,Retail,Food and drink,Personal care,Entertainment,Industries,Houses of worship,Total Count
37,Pennsylvania,Reopened,"['Outdoor and recreation', 'Food and drink', 'Personal care', 'Entertainment', 'Retail']",June 4,True,True,True,True,True,False,False,5
38,Puerto Rico,Reopened,"['Food and drink', 'Personal care', 'Retail', 'Outdoor and recreation', 'Entertainment', 'Houses of worship']",June 15,True,True,True,True,True,False,True,6
39,Rhode Island,Reopened,"['Outdoor and recreation', 'Retail', 'Industries', 'Personal care', 'Houses of worship', 'Food and drink']",May 8,True,True,True,True,False,True,True,6
40,South Carolina,Reopened,"['Retail', 'Outdoor and recreation', 'Food and drink', 'Personal care']",May 4,True,True,True,True,False,False,False,4
41,South Dakota,Reopened,[],Did not have a statewide stay-at-home order.,False,False,False,False,False,False,False,0
42,Texas,Reopened,"['Outdoor and recreation', 'Retail', 'Food and drink', 'Entertainment', 'Personal care', 'Industries', 'Entertainment']",April 30,True,True,True,True,True,True,False,6
43,Utah,Reopened,"['Food and drink', 'Personal care', 'Outdoor and recreation']",Did not have a statewide stay-at-home order.,True,False,True,True,False,False,False,3
44,Vermont,Reopened,"['Industries', 'Outdoor and recreation', 'Retail', 'Personal care', 'Entertainment', 'Food and drink']",May 15,True,True,True,True,True,True,False,6
45,Virginia,Reopened,"['Retail', 'Personal care', 'Outdoor and recreation', 'Houses of worship', 'Food and drink', 'Entertainment']",June 10,True,True,True,True,True,False,True,6
46,Washington,Reopened,"['Outdoor and recreation', 'Retail', 'Houses of worship', 'Food and drink', 'Personal care', 'Industries', 'Entertainment']",May 31,True,True,True,True,True,True,True,7
47,West Virginia,Reopened,"['Personal care', 'Outdoor and recreation', 'Food and drink', 'Retail', 'Entertainment']",May 3,True,True,True,True,True,False,False,5
48,Wisconsin,Reopened,"['Outdoor and recreation', 'Personal care', 'Retail']",May 13,True,True,False,True,False,False,False,3
49,Wyoming,Reopened,"['Outdoor and recreation', 'Personal care', 'Food and drink', 'Entertainment']",Did not have a statewide stay-at-home order.,True,False,True,True,True,False,False,4
50,Oregon,Reopened,"['Outdoor and recreation', 'Food and drink', 'Retail', 'Personal care', 'Entertainment', 'Industries']",March 23,True,True,True,True,True,True,False,6
51,Tennessee,Reopened,"['Outdoor and recreation', 'Food and drink', 'Retail', 'Personal care']",April 30,True,True,True,True,False,False,False,4
