,State,Reopened,Reopened Places Overview,Order Expiration,Outdoor and recreation,Retail,Food and drink,Personal care,Entertainment,Industries,Houses of worship,Total Count,other_industries,Manufacturing,Warehouses,Offices,"Movie, TV and music production",Distribution,Construction,Malls,Hotels,total_count_other_industries ,Governor,Party,Abbreviation,date,positive,recovered,death,deathIncrease,hospitalizedCurrently,hospitalizedCumulative,hospitalizedIncrease
19,Maine,Reopened,"['Personal care', 'Outdoor and recreation', 'Houses of worship', 'Retail', 'Food and drink', 'Personal care', 'Entertainment']",May 31,1,1,1,1,1,0,1,5,No Industry,0,0,0,0,0,0,0,0,0,Janet T. Mills,Democratic,ME,20200625,3070,2512.0,103,0,25.0,343.0,4
20,Maryland,Reopened,"['Outdoor and recreation', 'Retail', 'Industries', 'Houses of worship', 'Personal care', 'Food and drink', 'Entertainment']",May 15,1,1,1,1,1,1,1,6,"Manufacturing; Construction, offices",1,0,1,0,0,1,0,0,3,Larry Hogan,Republican,MD,20200625,65777,4874.0,3129,21,511.0,10683.0,35
21,Massachusetts,Reopened,"['Outdoor and recreation', 'Houses of worship', 'Industries', 'Personal care', 'Retail', 'Food and drink']",May 18,1,1,1,1,0,1,1,5,"Construction, manufacturing; Offices; Hotels, lodging",1,0,1,0,0,1,0,1,4,Charles D. Baker,Republican,MA,20200625,107837,,7963,25,822.0,11252.0,33
22,Michigan,Reopened,"['Outdoor and recreation', 'Industries', 'Retail', 'Personal care', 'Food and drink', 'Entertainment']",June 1,1,1,1,1,1,1,0,6,"Construction, real estate; Manufacturing, including auto companies; Offices",1,0,1,0,0,1,0,0,3,Gretchen Whitmer,Democratic,MI,20200625,68989,49290.0,6133,19,557.0,,0
23,Minnesota,Reopened,"['Industries', 'Retail', 'Houses of worship', 'Personal care', 'Outdoor and recreation', 'Food and drink', 'Entertainment']",May 17,1,1,1,1,1,1,1,6,Manufacturing; Offices,1,0,1,0,0,0,0,0,2,Tim Walz,Democratic,MN,20200625,34123,29854.0,1441,9,336.0,3943.0,46
24,Mississippi,Reopened,"['Retail', 'Food and drink', 'Outdoor and recreation', 'Personal care', 'Entertainment']",April 27,1,1,1,1,1,0,0,5,No Industry,0,0,0,0,0,0,0,0,0,Tate Reeves,Republican,MS,20200625,24516,17242.0,1016,5,755.0,2998.0,52
25,Missouri,Reopened,"['Food and drink', 'Personal care', 'Retail', 'Outdoor and recreation', 'Entertainment']",May 3,1,1,1,1,1,0,0,5,No Industry,0,0,0,0,0,0,0,0,0,Mike Parson,Republican,MO,20200625,19421,,982,7,546.0,,0
26,Montana,Reopened,"['Houses of worship', 'Retail', 'Personal care', 'Food and drink', 'Outdoor and recreation', 'Entertainment']",April 26,1,1,1,1,1,0,1,5,No Industry,0,0,0,0,0,0,0,0,0,Steve Bullock,Democratic,MT,20200625,803,572.0,21,0,15.0,93.0,0
27,Nebraska,Reopened,"['Houses of worship', 'Food and drink', 'Personal care', 'Entertainment', 'Outdoor and recreation']",Did not have a statewide stay-at-home order.,1,0,1,1,1,0,1,4,No Industry,0,0,0,0,0,0,0,0,0,Pete Ricketts,Republican,NE,20200625,18221,12099.0,257,1,131.0,1268.0,11
28,Nevada,Reopened,"['Outdoor and recreation', 'Retail', 'Food and drink', 'Personal care', 'Entertainment', 'Houses of worship']",May 9,1,1,1,1,1,0,1,5,No Industry,0,0,0,0,0,0,0,0,0,Steve Sisolak,Democratic,NV,20200625,14859,682.0,495,1,467.0,,0
29,New Hampshire,Reopened,"['Retail', 'Personal care', 'Outdoor and recreation', 'Houses of worship', 'Food and drink', 'Entertainment', 'Entertainment']",June 15,1,1,1,1,1,0,1,5,No Industry,0,0,0,0,0,0,0,0,0,Chris Sununu,Republican,NH,20200625,5598,4358.0,347,4,49.0,558.0,0
30,New Jersey,Reopened,"['Outdoor and recreation', 'Industries', 'Retail', 'Food and drink', 'Entertainment', 'Personal care', 'Retail']",June 9,1,1,1,1,1,1,0,6,Construction,0,0,0,0,0,1,0,0,1,Phil Murphy,Democratic,NJ,20200625,170196,29740.0,14872,1877,1182.0,19668.0,70
31,New Mexico,Reopened,"['Outdoor and recreation', 'Personal care', 'Retail', 'Industries', 'Houses of worship', 'Food and drink']",May 31,1,1,1,1,0,1,1,5,Offices,0,0,1,0,0,0,0,0,1,Michelle Lujan Grisham,Democratic,NM,20200625,10990,4984.0,480,4,149.0,1793.0,17
32,New York,Reopened,"['Retail', 'Houses of worship', 'Outdoor and recreation', 'Food and drink', 'Industries', 'Personal care', 'Entertainment', 'Outdoor and recreation', 'Industries']",May 28,1,1,1,1,1,1,1,6,"Construction, manufacturing; Offices",1,0,1,0,0,1,0,0,3,Andrew Cuomo,Democratic,NY,20200625,390415,70010.0,24800,18,996.0,89995.0,0
33,North Carolina,Reopened,"['Retail', 'Houses of worship', 'Food and drink', 'Personal care', 'Outdoor and recreation']",May 22,1,1,1,1,0,0,1,4,No Industry,0,0,0,0,0,0,0,0,0,Roy Cooper,Democratic,NC,20200625,57183,36921.0,1284,18,891.0,,0
34,North Dakota,Reopened,"['Food and drink', 'Outdoor and recreation', 'Personal care', 'Entertainment']",Did not have a statewide stay-at-home order.,1,0,1,1,1,0,0,4,No Industry,0,0,0,0,0,0,0,0,0,Doug Burgum,Republican,ND,20200625,3393,3064.0,87,1,25.0,222.0,3
35,Ohio,Reopened,"['Industries', 'Retail', 'Personal care', 'Food and drink', 'Outdoor and recreation', 'Entertainment']",May 29,1,1,1,1,1,1,0,6,"Manufacturing, distribution, construction; Offices",1,0,1,0,1,1,0,0,4,Richard Michael DeWine,Republican,OH,20200625,47651,,2772,17,624.0,7502.0,55
36,Oklahoma,Reopened,"['Personal care', 'Outdoor and recreation', 'Retail', 'Food and drink', 'Entertainment', 'Houses of worship', 'Industries']",Did not have a statewide stay-at-home order.,1,1,1,1,1,1,1,6,No Industry,0,0,0,0,0,0,0,0,0,Kevin Stitt,Republican,OK,20200625,11948,8507.0,375,3,277.0,1336.0,17
37,Oregon,Reopened,"['Outdoor and recreation', 'Retail', 'Entertainment', 'Industries', 'Food and drink', 'Personal care', 'Houses of worship']",March 23,1,1,1,1,1,1,1,6,Offices in most counties,0,0,1,0,0,0,0,0,1,Kate Brown,Democratic,OR,20200625,7568,2649.0,197,2,189.0,1012.0,6
38,Pennsylvania,Reopened,"['Outdoor and recreation', 'Retail', 'Food and drink', 'Personal care', 'Entertainment']",June 4,1,1,1,1,1,0,0,5,No Industry,0,0,0,0,0,0,0,0,0,Tom Wolf,Democratic,PA,20200625,83770,65340.0,6557,39,704.0,,0
39,Rhode Island,Reopened,"['Outdoor and recreation', 'Retail', 'Industries', 'Personal care', 'Houses of worship', 'Food and drink']",May 8,1,1,1,1,0,1,1,5,Offices; Malls,0,0,1,0,0,0,1,0,2,Gina Raimondo,Democratic,RI,20200625,16640,1588.0,920,8,103.0,1981.0,14
40,South Carolina,Reopened,"['Retail', 'Outdoor and recreation', 'Food and drink', 'Personal care', 'Entertainment']",May 4,1,1,1,1,1,0,0,5,No Industry,0,0,0,0,0,0,0,0,0,Henry McMaster,Republican,SC,20200625,29022,12317.0,693,10,881.0,2377.0,0
41,South Dakota,Reopened,[],Did not have a statewide stay-at-home order.,0,0,0,0,0,0,0,0,No Industry,0,0,0,0,0,0,0,0,0,Kristi L. Noem,Republican,SD,20200625,6479,5592.0,87,3,79.0,632.0,3
42,Texas,Reopened,"['Outdoor and recreation', 'Retail', 'Food and drink', 'Entertainment', 'Personal care', 'Industries']",April 30,1,1,1,1,1,1,0,6,No Industry,0,0,0,0,0,0,0,0,0,Greg Abbott,Republican,TX,20200625,131917,74496.0,2296,47,4739.0,,0
43,Utah,Reopened,"['Food and drink', 'Personal care', 'Outdoor and recreation', 'Houses of worship']",Did not have a statewide stay-at-home order.,1,0,1,1,0,0,1,3,No Industry,0,0,0,0,0,0,0,0,0,Gary Herbert,Republican,UT,20200625,19374,10642.0,164,1,230.0,1290.0,34
44,Vermont,Reopened,"['Industries', 'Outdoor and recreation', 'Retail', 'Personal care', 'Entertainment', 'Food and drink']",May 15,1,1,1,1,1,1,0,6,"Manufacturing, construction, distribution",1,0,0,0,1,1,0,0,3,Phil Scott,Republican,VT,20200625,1191,938.0,56,0,15.0,,0
45,Virginia,Reopened,"['Retail', 'Personal care', 'Outdoor and recreation', 'Houses of worship', 'Food and drink', 'Entertainment']",June 10,1,1,1,1,1,0,1,5,No Industry,0,0,0,0,0,0,0,0,0,Ralph Northam,Democratic,VA,20200625,59946,7818.0,1675,14,854.0,8672.0,21
46,Washington,Reopened,"['Outdoor and recreation', 'Retail', 'Houses of worship', 'Industries', 'Food and drink', 'Personal care', 'Entertainment']",May 31,1,1,1,1,1,1,1,6,Construction,0,0,0,0,0,1,0,0,1,Jay Inslee,Democratic,WA,20200625,29869,,1293,9,304.0,4093.0,26
47,West Virginia,Reopened,"['Personal care', 'Outdoor and recreation', 'Food and drink', 'Retail', 'Entertainment']",May 3,1,1,1,1,1,0,0,5,No Industry,0,0,0,0,0,0,0,0,0,Jim Justice,Republican,WV,20200625,2661,1858.0,92,0,24.0,,0
48,Wisconsin,Reopened,"['Outdoor and recreation', 'Personal care', 'Houses of worship', 'Retail', 'Food and drink']",May 13,1,1,1,1,0,0,1,4,No Industry,0,0,0,0,0,0,0,0,0,Tony Evers,Democratic,WI,20200625,29105,20557.0,766,9,249.0,3326.0,27
49,Wyoming,Reopened,"['Outdoor and recreation', 'Personal care', 'Food and drink', 'Entertainment', 'Houses of worship']",Did not have a statewide stay-at-home order.,1,0,1,1,1,0,1,4,No Industry,0,0,0,0,0,0,0,0,0,Mark Gordon,Republican,WY,20200625,1326,996.0,20,0,7.0,111.0,2
50,Tennessee,Reopened,"['Outdoor and recreation', 'Food and drink', 'Retail', 'Personal care']",April 30,1,1,1,1,0,0,0,4,No Industry,0,0,0,0,0,0,0,0,0,Bill Lee,Republican,TN,20200625,38034,25280.0,567,11,475.0,2431.0,45
