,State,Reopened,Reopened Places Overview,Order Expiration,Outdoor and recreation,Retail,Food and drink,Personal care,Entertainment,Industries,Houses of worship,Total Count,Industries_List,Manufacturing,Warehouses,Offices,"Movie, TV and music production",Distribution,Construction,Malls,Hotels,Governor,Party,Abbreviation,June_Unemployment,April_Unemployment,March_Unemployment
22,Michigan,Reopened,"['Outdoor and recreation', 'Industries', 'Retail', 'Personal care', 'Food and drink', 'Entertainment']",June 1,1,1,1,1,1,1,0,6,"Construction, real estate; Manufacturing, including auto companies; Offices",1,0,1,0,0,1,0,0,Gretchen Whitmer,Democratic,MI,23.6,3.6,4.3
23,Minnesota,Reopened,"['Industries', 'Retail', 'Houses of worship', 'Personal care', 'Outdoor and recreation', 'Food and drink', 'Entertainment']",May 17,1,1,1,1,1,1,1,6,Manufacturing; Offices,1,0,1,0,0,0,0,0,Tim Walz,Democratic,MN,8.6,3.6,3.7
24,Mississippi,Reopened,"['Retail', 'Food and drink', 'Outdoor and recreation', 'Personal care', 'Entertainment']",April 27,1,1,1,1,1,0,0,5,No Industry,0,0,0,0,0,0,0,0,Tate Reeves,Republican,MS,15.7,5.1,5.4
25,Missouri,Reopened,"['Food and drink', 'Personal care', 'Retail', 'Outdoor and recreation', 'Entertainment']",May 3,1,1,1,1,1,0,0,5,No Industry,0,0,0,0,0,0,0,0,Mike Parson,Republican,MO,9.8,3.7,4.3
26,Montana,Reopened,"['Houses of worship', 'Retail', 'Personal care', 'Food and drink', 'Outdoor and recreation', 'Entertainment']",April 26,1,1,1,1,1,0,1,5,No Industry,0,0,0,0,0,0,0,0,Steve Bullock,Democratic,MT,11.9,4.2,4.4
27,Nebraska,Reopened,"['Houses of worship', 'Food and drink', 'Personal care', 'Entertainment', 'Outdoor and recreation']",Did not have a statewide stay-at-home order.,1,0,1,1,1,0,1,4,No Industry,0,0,0,0,0,0,0,0,Pete Ricketts,Republican,NE,8.6,3.0,3.2
28,Nevada,Reopened,"['Outdoor and recreation', 'Retail', 'Food and drink', 'Personal care', 'Entertainment', 'Houses of worship']",May 9,1,1,1,1,1,0,1,5,No Industry,0,0,0,0,0,0,0,0,Steve Sisolak,Democratic,NV,30.1,3.8,3.8
29,New Hampshire,Reopened,"['Retail', 'Personal care', 'Outdoor and recreation', 'Food and drink', 'Houses of worship', 'Entertainment']",June 15,1,1,1,1,1,0,1,5,No Industry,0,0,0,0,0,0,0,0,Chris Sununu,Republican,NH,17.2,3.1,3.1
30,New Jersey,Reopened,"['Outdoor and recreation', 'Industries', 'Retail', 'Food and drink', 'Entertainment', 'Personal care']",June 9,1,1,1,1,1,1,0,6,Construction,0,0,0,0,0,1,0,0,Phil Murphy,Democratic,NJ,15.9,4.2,4.4
31,New Mexico,Reopened,"['Outdoor and recreation', 'Personal care', 'Retail', 'Industries', 'Houses of worship', 'Food and drink']",May 31,1,1,1,1,0,1,1,5,Offices at 25 percent capacity,0,0,1,0,0,0,0,0,Michelle Lujan Grisham,Democratic,NM,11.4,5.1,5.0
32,New York,Reopened,"['Retail', 'Houses of worship', 'Outdoor and recreation', 'Food and drink', 'Industries', 'Personal care']",May 28,1,1,1,1,0,1,1,5,"Construction, manufacturing; Offices",1,0,1,0,0,1,0,0,Andrew Cuomo,Democratic,NY,15.1,3.9,4.1
33,North Carolina,Reopened,"['Retail', 'Food and drink', 'Personal care', 'Outdoor and recreation']",May 22,1,1,1,1,0,0,0,4,No Industry,0,0,0,0,0,0,0,0,Roy Cooper,Democratic,NC,12.5,3.7,4.1
34,North Dakota,Reopened,"['Food and drink', 'Outdoor and recreation', 'Personal care', 'Entertainment']",Did not have a statewide stay-at-home order.,1,0,1,1,1,0,0,4,No Industry,0,0,0,0,0,0,0,0,Doug Burgum,Republican,ND,9.2,2.8,2.8
35,Ohio,Reopened,"['Industries', 'Retail', 'Personal care', 'Food and drink', 'Outdoor and recreation', 'Entertainment']",May 29,1,1,1,1,1,1,0,6,"Manufacturing, distribution, construction; Offices",1,0,1,0,1,1,0,0,Richard Michael DeWine,Republican,OH,17.3,4.7,5.0
36,Oklahoma,Reopened,"['Personal care', 'Outdoor and recreation', 'Food and drink', 'Entertainment', 'Houses of worship', 'Industries']",Did not have a statewide stay-at-home order.,1,0,1,1,1,1,1,5,Offices,0,0,1,0,0,0,0,0,Kevin Stitt,Republican,OK,14.3,3.0,3.3
37,Oregon,Reopened,"['Outdoor and recreation', 'Retail', 'Entertainment', 'Industries', 'Food and drink', 'Personal care']",March 23,1,1,1,1,1,1,0,6,Offices in most counties,0,0,1,0,0,0,0,0,Kate Brown,Democratic,OR,14.8,3.8,3.8
38,Pennsylvania,Reopened,"['Outdoor and recreation', 'Food and drink', 'Personal care', 'Entertainment', 'Retail']",June 4,1,1,1,1,1,0,0,5,No Industry,0,0,0,0,0,0,0,0,Tom Wolf,Democratic,PA,15.6,5.1,5.1
39,Puerto Rico,Reopened,"['Food and drink', 'Personal care', 'Retail', 'Outdoor and recreation', 'Entertainment', 'Houses of worship']",June 15,1,1,1,1,1,0,1,5,No Industry,0,0,0,0,0,0,0,0,,,,,7.8,9.6
40,Rhode Island,Reopened,"['Outdoor and recreation', 'Retail', 'Industries', 'Personal care', 'Houses of worship', 'Food and drink']",May 8,1,1,1,1,0,1,1,5,Offices; Malls,0,0,1,0,0,0,1,0,Gina Raimondo,Democratic,RI,17.9,4.0,4.1
41,South Carolina,Reopened,"['Retail', 'Outdoor and recreation', 'Food and drink', 'Personal care']",May 4,1,1,1,1,0,0,0,4,No Industry,0,0,0,0,0,0,0,0,Henry McMaster,Republican,SC,12.2,3.1,3.0
42,South Dakota,Reopened,[],Did not have a statewide stay-at-home order.,0,0,0,0,0,0,0,0,No Industry,0,0,0,0,0,0,0,0,Kristi L. Noem,Republican,SD,11.0,3.6,3.8
43,Texas,Reopened,"['Outdoor and recreation', 'Retail', 'Food and drink', 'Entertainment', 'Personal care', 'Industries']",April 30,1,1,1,1,1,1,0,6,"Offices, manufacturing",1,0,1,0,0,0,0,0,Greg Abbott,Republican,TX,13.1,3.6,3.8
44,Utah,Reopened,"['Food and drink', 'Personal care', 'Outdoor and recreation', 'Houses of worship']",Did not have a statewide stay-at-home order.,1,0,1,1,0,0,1,3,No Industry,0,0,0,0,0,0,0,0,Gary Herbert,Republican,UT,10.4,2.8,2.8
45,Vermont,Reopened,"['Industries', 'Outdoor and recreation', 'Retail', 'Personal care', 'Entertainment', 'Food and drink']",May 15,1,1,1,1,1,1,0,6,"Manufacturing, construction, distribution",1,0,0,0,1,1,0,0,Phil Scott,Republican,VT,16.8,2.6,3.0
46,Virginia,Reopened,"['Retail', 'Personal care', 'Outdoor and recreation', 'Houses of worship', 'Food and drink', 'Entertainment']",June 10,1,1,1,1,1,0,1,5,No Industry,0,0,0,0,0,0,0,0,Ralph Northam,Democratic,VA,10.8,2.8,3.0
47,Washington,Reopened,"['Outdoor and recreation', 'Retail', 'Houses of worship', 'Food and drink', 'Personal care', 'Industries', 'Entertainment']",May 31,1,1,1,1,1,1,1,6,Construction,0,0,0,0,0,1,0,0,Jay Inslee,Democratic,WA,16.1,4.2,4.4
48,West Virginia,Reopened,"['Personal care', 'Outdoor and recreation', 'Food and drink', 'Retail', 'Entertainment']",May 3,1,1,1,1,1,0,0,5,No Industry,0,0,0,0,0,0,0,0,Jim Justice,Republican,WV,15.8,5.5,5.5
49,Wisconsin,Reopened,"['Outdoor and recreation', 'Personal care', 'Houses of worship', 'Retail']",May 13,1,1,0,1,0,0,1,3,No Industry,0,0,0,0,0,0,0,0,Tony Evers,Democratic,WI,13.6,4.0,4.2
50,Wyoming,Reopened,"['Outdoor and recreation', 'Personal care', 'Food and drink', 'Entertainment']",Did not have a statewide stay-at-home order.,1,0,1,1,1,0,0,4,No Industry,0,0,0,0,0,0,0,0,Mark Gordon,Republican,WY,9.6,4.3,4.3
51,Tennessee,Reopened,"['Outdoor and recreation', 'Food and drink', 'Retail', 'Personal care']",April 30,1,1,1,1,0,0,0,4,No Industry,0,0,0,0,0,0,0,0,Bill Lee,Republican,TN,15.0,3.8,3.8
