,State,Reopened,Reopened Places Overview,Order Expiration,Outdoor and recreation,Retail,Food and drink,Personal care,Entertainment,Industries,Houses of worship,Total Count,Industries_List,Manufacturing,Warehouses,Offices,"Movie, TV and music production",Distribution,Construction,Malls,Hotels,Governor,Party,Abbreviation
21,Massachusetts,Reopened,"['Outdoor and recreation', 'Houses of worship', 'Industries', 'Personal care', 'Retail', 'Food and drink']",May 18,1,1,1,1,0,1,1,5,"Construction, manufacturing; Offices; Hotels, lodging",1,0,1,0,0,1,0,1,Charles D. Baker,Republican,MA
22,Michigan,Reopened,"['Outdoor and recreation', 'Industries', 'Retail', 'Personal care', 'Food and drink', 'Entertainment']",June 1,1,1,1,1,1,1,0,6,"Construction, real estate; Manufacturing, including auto companies; Offices",1,0,1,0,0,1,0,0,Gretchen Whitmer,Democratic,MI
23,Minnesota,Reopened,"['Industries', 'Retail', 'Houses of worship', 'Personal care', 'Outdoor and recreation', 'Food and drink', 'Entertainment']",May 17,1,1,1,1,1,1,1,6,Manufacturing; Offices,1,0,1,0,0,0,0,0,Tim Walz,Democratic,MN
24,Mississippi,Reopened,"['Retail', 'Food and drink', 'Outdoor and recreation', 'Personal care', 'Entertainment']",April 27,1,1,1,1,1,0,0,5,No Industry,0,0,0,0,0,0,0,0,Tate Reeves,Republican,MS
25,Missouri,Reopened,"['Food and drink', 'Personal care', 'Retail', 'Outdoor and recreation', 'Entertainment']",May 3,1,1,1,1,1,0,0,5,No Industry,0,0,0,0,0,0,0,0,Mike Parson,Republican,MO
26,Montana,Reopened,"['Houses of worship', 'Retail', 'Personal care', 'Food and drink', 'Outdoor and recreation', 'Entertainment']",April 26,1,1,1,1,1,0,1,5,No Industry,0,0,0,0,0,0,0,0,Steve Bullock,Democratic,MT
27,Nebraska,Reopened,"['Houses of worship', 'Food and drink', 'Personal care', 'Entertainment', 'Outdoor and recreation']",Did not have a statewide stay-at-home order.,1,0,1,1,1,0,1,4,No Industry,0,0,0,0,0,0,0,0,Pete Ricketts,Republican,NE
28,Nevada,Reopened,"['Outdoor and recreation', 'Retail', 'Food and drink', 'Personal care', 'Entertainment', 'Houses of worship']",May 9,1,1,1,1,1,0,1,5,No Industry,0,0,0,0,0,0,0,0,Steve Sisolak,Democratic,NV
29,New Hampshire,Reopened,"['Retail', 'Personal care', 'Outdoor and recreation', 'Houses of worship', 'Food and drink', 'Entertainment', 'Entertainment']",June 15,1,1,1,1,1,0,1,5,No Industry,0,0,0,0,0,0,0,0,Chris Sununu,Republican,NH
30,New Jersey,Reopened,"['Outdoor and recreation', 'Industries', 'Retail', 'Food and drink', 'Entertainment', 'Personal care', 'Retail']",June 9,1,1,1,1,1,1,0,6,Construction,0,0,0,0,0,1,0,0,Phil Murphy,Democratic,NJ
31,New Mexico,Reopened,"['Outdoor and recreation', 'Personal care', 'Retail', 'Industries', 'Houses of worship', 'Food and drink']",May 31,1,1,1,1,0,1,1,5,Offices,0,0,1,0,0,0,0,0,Michelle Lujan Grisham,Democratic,NM
