,State,Reopened,Reopened Places Overview,Order Expiration,Outdoor and recreation,Retail,Food and drink,Personal care,Entertainment,Industries,Houses of worship,Total Count,other_industries,Manufacturing,Warehouses,Offices,"Movie, TV and music production",Distribution,Construction,Malls,Hotels,total_count_other_industries,Governor,Party,Abbreviation,date_covid_cases_data,total_cases,recovered,death,deathIncrease,hospitalizedCurrently,hospitalizedCumulative,hospitalizedIncrease,date_state_reopening_data
38,West Virginia,Open,"['Retail', 'Food and drink', 'Personal care', 'Houses of worship', 'Entertainment', 'Outdoor and recreation']",May 3,1,1,1,1,1,0,1,5,No Industry,0,0,0,0,0,0,0,0,0,Jim Justice,Republican,WV,20200628,2817,2062.0,93,0,32.0,,0,20200626
39,Wyoming,Open,"['Food and drink', 'Personal care', 'Houses of worship', 'Entertainment', 'Outdoor and recreation', 'Retail']",Did not have a statewide stay-at-home order.,1,1,1,1,1,0,1,5,No Industry,0,0,0,0,0,0,0,0,0,Mark Gordon,Republican,WY,20200628,1417,1057.0,20,0,5.0,112.0,1,20200626
40,Arkansas,Open,"['Retail', 'Food and drink', 'Personal care', 'Houses of worship', 'Entertainment', 'Outdoor and recreation']",Did not have a statewide stay-at-home order.,1,1,1,1,1,0,1,5,No Industry,0,0,0,0,0,0,0,0,0,Asa Hutchinson,Republican,AR,20200628,19310,13270.0,259,10,278.0,1373.0,36,20200626
41,Delaware,Open,"['Retail', 'Food and drink', 'Personal care', 'Houses of worship', 'Entertainment', 'Outdoor and recreation']",May 31,1,1,1,1,1,0,1,5,No Industry,0,0,0,0,0,0,0,0,0,John C. Carney Jr.,Democratic,DE,20200628,11226,6665.0,507,0,78.0,,0,20200626
42,Idaho,Open,"['Retail', 'Food and drink', 'Personal care', 'Houses of worship', 'Entertainment', 'Outdoor and recreation']",April 30,1,1,1,1,1,0,1,5,No Industry,0,0,0,0,0,0,0,0,0,Brad Little,Republican,ID,20200628,5319,3898.0,91,1,,312.0,3,20200626
43,Louisiana,Open,"['Retail', 'Food and drink', 'Personal care', 'Houses of worship', 'Entertainment', 'Outdoor and recreation', 'Outdoor and recreation']",May 15,1,1,1,1,1,0,1,5,No Industry,0,0,0,0,0,0,0,0,0,John Bel Edwards,Democratic,LA,20200628,56236,39792.0,3199,9,715.0,,0,20200626
44,Michigan,Open,"['Retail', 'Food and drink', 'Personal care', 'Houses of worship', 'Entertainment', 'Outdoor and recreation', 'Industries']",June 1,1,1,1,1,1,1,1,6,No Industry,0,0,0,0,0,0,0,0,0,Gretchen Whitmer,Democratic,MI,20200628,69946,51099.0,6158,5,557.0,,0,20200626
45,Nevada,Open,"['Retail', 'Food and drink', 'Personal care', 'Houses of worship', 'Entertainment', 'Outdoor and recreation']",May 9,1,1,1,1,1,0,1,5,No Industry,0,0,0,0,0,0,0,0,0,Steve Sisolak,Democratic,NV,20200628,17160,684.0,500,0,511.0,,0,20200626
46,New Mexico,Open,"['Retail', 'Food and drink', 'Personal care', 'Houses of worship', 'Outdoor and recreation', 'Industries', 'Food and drink', 'Entertainment']",May 31,1,1,1,1,1,1,1,6,Offices,0,0,1,0,0,0,0,0,1,Michelle Lujan Grisham,Democratic,NM,20200628,11619,5251.0,491,2,122.0,1851.0,23,20200626
47,North Carolina,Open,"['Retail', 'Food and drink', 'Personal care', 'Houses of worship', 'Outdoor and recreation', 'Food and drink', 'Entertainment', 'Outdoor and recreation']",May 22,1,1,1,1,1,0,1,5,No Industry,0,0,0,0,0,0,0,0,0,Roy Cooper,Democratic,NC,20200628,62142,36921.0,1322,10,890.0,,0,20200626
48,Oregon,Open,"['Retail', 'Food and drink', 'Personal care', 'Houses of worship', 'Entertainment', 'Outdoor and recreation', 'Industries']",March 23,1,1,1,1,1,1,1,6,No Industry,0,0,0,0,0,0,0,0,0,Kate Brown,Democratic,OR,20200628,8341,2649.0,202,0,149.0,1022.0,0,20200626
49,Florida,Open,"['Retail', 'Food and drink', 'Personal care', 'Houses of worship', 'Entertainment', 'Outdoor and recreation', 'Food and drink']",May 4,1,1,1,1,1,0,1,5,No Industry,0,0,0,0,0,0,0,0,0,Ron DeSantis,Republican,FL,20200628,141075,,3518,29,,14540.0,108,20200626
50,Texas,Open,"['Retail', 'Food and drink', 'Personal care', 'Houses of worship', 'Entertainment', 'Outdoor and recreation', 'Industries', 'Food and drink']",April 30,1,1,1,1,1,1,1,6,"Offices, manufacturing",1,0,1,0,0,0,0,0,2,Greg Abbott,Republican,TX,20200628,148728,79974.0,2393,27,5497.0,,0,20200626
